Figure,Group,Days
1B,WT,13
1B,WT,14
1B,WT,9
1B,WT,16
1B,WT,11
1B,WT,9
1B,WT,14
1B,WT,11
1B,WT,10
1B,WT,9
1B,WT,15
1B,WT,15
1B,WT,10
1B,WT,10
1B,WT,9
1B,WT,9
1B,WT,9
1B,WT,10
1B,WT,11
1B,WT,15
1B,WT,11
1B,WT,11
1B,WT,12
1B,WT,13
1B,WT,11
1B,WT,13
1B,WT,11
1B,WT,13
1B,WT,11
1B,WT,13
1B,WT,11
1B,WT,13
1B,WT,11
1B,WT,13
1B,WT,13
1B,WT,13
1B,WT,12
1B,WT,14
1B,WT,16
1B,WT,14
1B,WT,15
1B,WT,23
1B,WT,12
1B,IL17-/-,14
1B,IL17-/-,20
1B,IL17-/-,10
1B,IL17-/-,12
1B,IL17-/-,19
1B,IL17-/-,18
1B,IL17-/-,17
1B,IL17-/-,13
1B,IL17-/-,13
1B,IL17-/-,21
1B,IL17-/-,18
1B,IL17-/-,15
1B,IL17-/-,19
1B,IL17-/-,17
1B,IL17-/-,17
1B,IL17-/-,14
